gene,embryo,channel,source_type,sigma_dog,threshold_dog,min_intensity,max_intensity,final_detections,full_path
Blimp1,Blimp1_11_HB-Airyscan Processing-387-Channel Alignment (Extended)-394,CH3_488nm,combined_file,1.5,0.02012,0.0,6416.0,4752,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_11_HB-Airyscan Processing-387-Channel Alignment (Extended)-394_RSFISH_LOG.txt
Blimp1,Blimp1_12_hl-Airyscan Processing-389-Channel Alignment (Extended)-395,CH1_633nm,combined_file,1.8,0.007586,0.0,17254.0,166,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_12_hl-Airyscan Processing-389-Channel Alignment (Extended)-395_RSFISH_LOG.txt
Blimp1,Blimp1_12_hl-Airyscan Processing-389-Channel Alignment (Extended)-395,CH2_555nm,combined_file,1.8,0.007551,0.0,23858.0,6778,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_12_hl-Airyscan Processing-389-Channel Alignment (Extended)-395_RSFISH_LOG.txt
Blimp1,Blimp1_12_hl-Airyscan Processing-389-Channel Alignment (Extended)-395,CH3_488nm,combined_file,1.8,0.01073,0.0,5887.0,803009,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_12_hl-Airyscan Processing-389-Channel Alignment (Extended)-395_RSFISH_LOG.txt
Blimp1,Blimp1_1_HB-Airyscan Processing-370-Channel Alignment (Extended)-01,CH1_633nm,combined_file,1.5,0.007506,0.0,3839.0,47601,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_1_HB-Airyscan Processing-370-Channel Alignment (Extended)-01_RSFISH_LOG.txt
Blimp1,Blimp1_1_HB-Airyscan Processing-370-Channel Alignment (Extended)-01,CH2_555nm,combined_file,1.5,0.007551,0.0,15154.0,17154,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_1_HB-Airyscan Processing-370-Channel Alignment (Extended)-01_RSFISH_LOG.txt
Blimp1,Blimp1_1_HB-Airyscan Processing-370-Channel Alignment (Extended)-01,CH3_488nm,combined_file,1.5,0.02012,0.0,7280.0,4216,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_1_HB-Airyscan Processing-370-Channel Alignment (Extended)-01_RSFISH_LOG.txt
Blimp1,Blimp1_2_HB-Airyscan Processing-371-Channel Alignment (Extended)-02,CH1_633nm,combined_file,1.5,0.007506,0.0,6380.0,4293,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_2_HB-Airyscan Processing-371-Channel Alignment (Extended)-02_RSFISH_LOG.txt
Blimp1,Blimp1_2_HB-Airyscan Processing-371-Channel Alignment (Extended)-02,CH2_555nm,combined_file,1.5,0.007551,0.0,29358.0,2502,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_2_HB-Airyscan Processing-371-Channel Alignment (Extended)-02_RSFISH_LOG.txt
Blimp1,Blimp1_2_HB-Airyscan Processing-371-Channel Alignment (Extended)-02,CH3_488nm,combined_file,1.5,0.02012,0.0,6416.0,1763,Z:\Sujay\RNAi screen\DNA-FISH_RNAi_screen\AP_file_2026\AP_files\OUTPUT\logs\Blimp1_2_HB-Airyscan Processing-371-Channel Alignment (Extended)-02_RSFISH_LOG.txt
